Name,Name_graph,Team,Season,Minutes,Primary Position,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV,Image key,
Raúl Gudiño,Raúl Gudiño,Necaxa,2023/2024,977,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.09,0,0,7.83,2.63,0,3.96,0,0,0,0,0,0,100,0,0,0,0,0.09,0.01,0.09,0,0,11.91,0,0,0,0,0.09,0,0,15.48,65,6.45,10,41,1.01,14.56,6,42,-23,10.42,1.57,0.14,0.14,11.7,100,4.85,0.46,0,0,0,0,0,0,0,0,0,0,0,57,43,0,100,0,0,46.31,42.02,0.77,48,-4.29,35.58,20.34,0.92,0.98,0.05,74,72,2,1.12,3.5,27,13.18,1.54,0.09,0.09,15.02,1,13,3,1.53,14,0.12,0.04,0,0,-0.08,0.09,,
Ricardo Gutiérrez,Ricardo Gutiérrez,Mazatlán,2023/2024,600,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,100,0.45,0,0,0,0,0,0,0,0,0,0,6,1.85,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,21.74,84,5.25,73,53,2.55,7.35,14,78,-6,11.43,0.15,0.32,0.32,17.54,100,4.09,0,0,0,0,0,0,0,0,0,0,0,0,33,67,0,0,0,0,32.24,38.98,0.81,91,6.73,26.13,35.58,1.2,1.53,0.33,73,66,7,0.97,4.5,43,10.49,1.66,0.3,0.3,15.12,-1,5,4,2.05,15,0.11,0.08,0,0,0.17,0.36,,
Rodolfo Cota,Rodolfo Cota,León,2023/2024,3689,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0.02,0,0.02,0.02,0,100,0.2,0,0,0,0,0,0,0,0.37,0.17,0,7.22,3.74,0,4.25,0,0,0,0,0,0.02,43,0.1,0,0,0.02,0.34,0.38,0.2,0.02,0,12.79,0.02,7,0,0,0.05,0,0,16.74,80,5.15,26,53,1.59,8.12,11,60,-20,10.69,0.27,0.09,0.09,13.15,100,4.58,0.15,0,0,0,0,0,0,0,0,0,0,0,37,63,0,100,0,0,34.39,39.56,0.82,77,5.17,28.21,30.6,1.1,0.88,-0.22,67,74,-6,1.01,3.34,29,11.44,2.26,0.17,0.17,17.6,3,8,2,1.36,8,0.08,0.06,-0.02,0,-0.29,-0.17,,
Sebastián Jurado - Cruz Azul,Sebastián Jurado,Cruz Azul,2023/2024,347,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.26,0,100,0.26,0,0,0,0,0,0,0,0.26,0.26,0,7.53,2.63,0,2.86,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.26,19.73,69,4.93,20,37,1.82,11.42,8,22,-47,10.78,0.52,0.32,0.32,15.57,100,4.29,0.26,0,0,0,0,0,0,0,0,0,0,0,49,51,0,100,0,0,36.45,50.99,0.72,56,14.54,26.18,28.56,1.56,1.09,-0.46,45,62,-16,1.17,2.86,30,9.6,1.64,0.26,0.26,21.64,-1,5,1,1.56,12,0.1,0.04,-0.03,0,-0.59,-0.48,,
Sebastián Jurado - Juárez,Sebastián Jurado,Juárez,2023/2024,1295,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0,100,0.14,0,0,0,0,0,0,0,0.28,0.14,0,8.27,3.18,0.07,2.92,0,0,0,0,0,0,67,0.07,0,0,0,0.28,0.25,0.07,0.07,0,9.74,0,0,0,0,0,0,0,15.29,75,4.38,14,42,1.46,8.96,9,59,-15,10.4,0.69,0.05,0.05,12.92,100,4.69,0.28,0,0,0,0,0.07,0.07,0,0,0,0,0.07,42,58,0,75,0,25,37.29,42.67,0.73,87,5.38,27.32,37.21,1.25,1.31,0.06,70,69,1,1.35,4.24,31,13.62,2.12,0.07,0,17.73,-1,7,2,1.05,7,0.06,0.07,0,0,0.02,0.15,,
Tiago Volpi,Tiago Volpi,Toluca,2023/2024,3677,Portero,0.22,0,0,0,0,0,0,0,82,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0.02,0.02,50,0.1,0,0,0.02,0,0,0.02,0.03,0.12,0.05,0,7.07,2.79,0.02,4.01,0,0,0,0,0,0,100,0,0,0,0.05,0.12,0.12,0.07,0,0,9.63,0,0,0,0,0.07,0,0,25.09,78,7.96,6,54,1.98,12.73,11,58,-20,11.18,1.64,0.27,0.27,19.66,100,4.73,0.76,0.12,0.05,0.07,0,0.27,0.32,0,0,0,0,0,36,64,0,90,10,0,40,43.41,0.79,69,3.41,31.57,29.82,1,0.9,-0.1,73,76,-3,1.04,3.77,36,10.45,1.95,0.05,0.05,18.11,2,8,3,1.85,12,0.11,0.06,0,-0.01,-0.24,-0.09,https://drive.google.com/uc?id=16epYTysuaX9tpPg0ABd0AxzbHPhC8uTb,
Óscar Jiménez,Óscar Jiménez,América,2023/2024,546,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.33,0.16,0,8.23,2.6,0,3.79,0,0,0,0,0,0.16,100,0,0,0,0,0.16,0.14,0.16,0,0,18.53,0,0,0,0,0.16,0,0,18.45,82,4.12,17,46,2.47,6.42,14,70,-12,8.99,0.33,0.34,0.34,11.2,99,3.23,0,0,0,0,0,0,0,0,0,0,0,0,45,55,0,0,0,0,31.37,40.66,0.75,83,9.29,23.59,33.89,0.66,0.85,0.19,85,81,4,1.02,4.45,35,12.85,1.42,0,0,14.41,0,9,4,0.89,6,0.07,0.01,0,0,0.04,0.12,,
Óscar Ustari,Óscar Ustari,Pachuca,2023/2024,311,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,3.37,0,6.07,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74,67,7.52,12,49,0.58,14.74,3,67,-1,11.73,1.16,0.1,0.1,10.99,100,4.85,0.58,0,0,0,0,0,0,0,0,0,0,0,59,41,0,50,50,0,43.91,44.99,0.79,75,1.08,34.55,33.93,1.73,1.67,-0.07,54,56,-2,1.15,3.76,46,8.09,2.03,0,0,24.78,1,7,7,3.5,17,0.12,0.06,0,0,-0.11,0.07,,
Alfredo Talavera,Alfredo Talavera,Juárez,2022/2023,3526,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0.03,0,0.05,0.05,0,100,0.08,0,0,0.03,0,0,0.03,0.04,0.13,0.1,0,7.94,2.89,0,3.8,0,0,0,0,0,0.05,40,0.1,0,0,0.05,0.08,0.05,0.03,0.03,0,12.54,0,0,0,0,0.13,0,0,17.74,76,7.33,9,54,1.2,12.41,7,62,-15,12.13,0.82,0.08,0.08,13.32,100,4.45,0.13,0.03,0,0.03,0,0,0,0,0,0,0,0,43,57,0,80,20,0,40.47,44.19,0.81,83,3.72,32.69,36.74,0.92,0.88,-0.04,75,76,-1,1.04,3.7,31,11.92,1.78,0.23,0.23,17.56,1,13,3,1.57,12,0.08,0.05,-0.02,0,-0.13,-0.02,,
Andrés Eduardo Sánchez Rodríguez,Andrés Eduardo Sánchez Rodríguez,Atlético San Luis,2022/2023,403,Portero,0,0,0,0,0,0,0,0,0,0,0,0.03,0.45,0,0.03,0.45,0,0,0,0,0.03,0.45,-0.03,0,0,0,0,0.22,0,0,0,0,0,0,0,0.22,0,0,11.62,2.8,0,6.7,0,0,0,0,0,0,0,0.22,0,0,0.22,0.22,0.32,0.22,0,0,11.17,0,0,0,0,0,0,0,18.1,66,3.57,19,30,0.45,11.62,3,25,-41,10.72,0.45,0.02,0.03,11.17,100,4.6,0.45,0,0,0,0,0,0,0,0,0,0,0,45,55,0,100,0,0,41.48,43.81,0.59,51,2.33,24.45,22.25,1.79,1.69,-0.09,77,78,-1,1.61,7.82,44,17.65,1.79,0,0,18.71,3,10,3,1.18,9,0.11,0.03,0.01,0,-0.16,-0.01,,
Antonio Rodríguez,Antonio Rodríguez,Tijuana,2022/2023,1721,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0.06,0.05,0,0,8.21,3.02,0,3.45,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.07,0.05,0,0,17.67,0,0,0,0,0.1,0,0,15.38,73,6.28,19,50,1.46,11.19,7,47,-26,11.48,0.37,0.05,0.05,9.99,100,4.6,0.16,0,0,0,0,0,0,0,0,0,0,0,48,52,0,100,0,0,39.9,46.77,0.79,74,6.88,31.4,34.76,1.26,1.21,-0.04,72,73,-1,0.97,4.45,37,12.08,1.55,0.21,0.21,19.86,0,10,3,1.04,7,0.1,0.04,0,0,-0.22,-0.09,,
Antonio Rodríguez,Antonio Rodríguez,Querétaro,2022/2023,794,Portero,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,0,0,0,0,0.01,0.11,0,0.01,0.11,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,6.91,2.7,0,4.19,0,0,0,0,0,0,100,0,0,0,0,0.11,0.05,0.11,0,0,4.69,0,0,0,0,0.11,0,0,17.11,72,7.93,15,52,1.25,13.94,7,81,9,11.73,1.7,0.32,0.32,13.26,100,4.66,0.68,0.11,0,0.11,0,0,0,0,0,0,0,0,59,41,0,100,0,0,45.91,44.4,0.82,95,-1.5,37.81,42.18,1.02,0.69,-0.33,59,72,-13,1.07,2.49,23,10.76,1.76,0.57,0.57,14.07,0,12,3,1.57,9,0.14,0.05,0,0,-0.44,-0.25,,
Antony Silva,Antony Silva,Puebla,2022/2023,3498,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.03,0.01,0.26,0.1,0,8.49,2.53,0.03,4.37,0,0,0,0,0,0.05,33,0.08,0,0,0.03,0.21,0.17,0.1,0.03,0.03,7.47,0,0,0,0,0.08,0,0,13.89,70,4.94,10,42,1,10.86,6,60,-10,9.51,1.03,0.1,0.1,10.68,100,5.05,0.44,0.03,0,0.03,0,0,0,0,0,0,0,0,48,52,0,94,6,0,40.57,44.11,0.74,89,3.55,29.84,39.23,1.44,1.23,-0.21,69,74,-4,1.23,4.68,33,14.28,1.67,0.21,0.15,17.01,1,12,2,1.17,8,0.09,0.06,-0.03,0,-0.33,-0.21,,
Arturo Delgado Covarrubias,Arturo Delgado Covarrubias,Tigres UANL,2022/2023,49,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,4.29,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.54,77,3.68,100,40,1.84,7.35,8,0,-77,11.21,0,0.06,0.06,16.54,100,4.2,0,0,0,0,0,0,0,0,0,0,0,0,31,69,0,0,0,0,36.19,55.78,0.79,0,19.59,28.53,0,1.84,0.55,-1.29,50,85,-35,0.44,3.68,50,7.35,2.18,0,0,18.01,9,8,0,3.68,13,0,0.08,0,0,-1.34,-1.26,,
Camilo Vargas,Camilo Vargas,Atlas,2022/2023,3235,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0,0,0.08,0,0.03,0.03,0,100,0.06,0,0.06,0,0,0,0.03,0.01,0.19,0.03,0,8.79,3.12,0.03,4.59,0,0,0,0,0,0.06,100,0.03,0,0,0.03,0.14,0.13,0.06,0,0,8.72,0,0,0,0,0.17,0,0.03,22.76,66,8.99,69,45,2.09,18.08,8,57,-10,13.76,2.84,0.13,0.13,18.08,100,4.78,1.36,0.11,0.06,0.06,0,0,0.06,0.03,0,0,0,0,60,40,0,98,2,0,46.76,49.59,0.76,82,2.83,35.73,40.64,1.08,0.95,-0.13,73,76,-3,1,3.98,30,13.16,2.22,0.14,0.06,19.4,-1,16,4,2.43,17,0.2,0.07,-0.02,0,-0.11,0.14,,
Carlos Acevedo,Carlos Acevedo,Santos Laguna,2022/2023,3721,Portero,0.02,0.02,0,0.17,0.02,100,100,0,0,0.02,0,0,0.02,0,0,0.02,0,0,0,0.02,0,0.05,0.02,0,0,0,0,0.07,0,0,0,0,0,0.02,0.01,0.07,0.02,0,9.22,2.34,0,4.11,0,0,0,0,0,0.02,0,0,100,0.02,0,0.05,0.05,0,0,0,5.67,0,0,0,0,0.02,0,0,13.96,69,6.24,9,45,0.99,12.99,5,51,-18,10.49,1.04,0.15,0.15,10.3,100,4.85,0.36,0,0,0,0,0.05,0.05,0,0,0,0,0,51,49,0,100,0,0,44.04,50.11,0.76,79,6.07,33.43,39.4,1.35,1.32,-0.03,71,72,-1,1.2,4.72,32,14.71,1.57,0.12,0.12,16.18,0,16,4,1.98,11,0.1,0.06,-0.01,0.02,-0.13,0.03,,
Carlos Moreno,Carlos Moreno,Pachuca,2022/2023,349,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0.26,0,0,4.9,3.64,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0.26,0.24,0,0,0,8.32,0,0,0,0,0.26,0,0,14.18,74,4.9,21,46,2.32,8.25,12,40,-34,10.72,0,0.18,0.18,11.34,100,2.64,0,0,0,0,0,0,0,0,0,0,0,0,49,51,0,0,0,0,37.01,51.89,0.75,86,14.88,27.91,44.43,1.03,0.98,-0.05,60,62,-2,1.06,2.58,36,7.22,2.04,0.26,0.26,23.3,2,15,1,1.8,9,0.06,0.02,0,0,-0.19,-0.11,,
David Ochoa,David Ochoa,Atlético San Luis,2022/2023,43,Portero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,6.22,2.53,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,67,10.36,0,56,0,18.65,0,0,0,9.76,8.29,0,0,10.36,100,7.97,4.14,0,0,0,0,0,0,0,0,0,0,0,75,25,0,100,0,0,61.15,0,0.86,0,0,52.52,0,0,0.4,0.4,100,81,19,1.06,2.07,20,10.36,1.42,0,0,11.29,4,8,0,2.07,42,0.16,0.02,0,0,0.47,0.65,,
