"Name","Team","Season","Minutes","Primary Position","All Goals","NP Goals","xG","xG/Shot","Shots","Goal Conversion%","Shooting%","Shot Touch%","Penalty Conversion%","PSxG","Assists","xG Assisted","Key Passes","OP Assists","OP xG Assisted","OP Key Passes","SP Assists","SP xG Assisted","SP Key Passes","Scoring Contribution","xG & xG Assisted","Shots & Key Passes","O/U Performance","Dribbles","Successful Dribbles","Failed Dribbles","Dribble%","Fouls Won","Penalty Wins","Dispossessed","Turnovers","Interceptions","PAdj Interceptions","Clearances","PAdj Clearances","Defensive Actions","Aggressive Actions","Blocks/Shot","Defensive Regains","Average DA X","Ball Recov. F2","Ball Recoveries","Tackles","Tack&Int","Tack/DP%","PAdj Tackles","PAdj Tack&Int","Fouls","Dribbles Stopped%","Dribbled Past","Aerial Win%","Aerial Wins","Errors","Pressures","PAdj Pressures","Pressure Regains","Counterpressures","Counterpress Regains","Average Pressure X","Pressures F2","Pressures F2%","Counterpressures F2","Counterpressures F2%","Yellow Cards","2nd Yellows","Red Cards","OP Passes","Passing%","Long Balls","L/R Footedness%","Long Ball%","Pr. Long Balls","UPr. Long Balls","Passes Pressured%","Pr. Pass%","Pr. Pass% Dif.","Average Pass X","Deep Progressions","xGBuildup","xGChain","Carries","Carry%","Carry Length","OP F3 Passes","PintoB","OP Passes Into Box","SP PintoB","Passes Inside Box","Touches In Box","PinTin","Throughballs","Successful Box Cross%","Successful Crosses","Crossing%","Deep Completions","Pass Forward%","Pass Sideways%","Pass Backward%","F3 Pass Forward%","F3 Pass Sideways%","F3 Pass Backward%","Pass Length","Pr. Pass Length","Pass Length Ratio","Pr. Pass Length%","Pr. Pass Length Dif.","Succ. Pass Length","Succ.Pr. Pass Length","Goals Conceded","PSxG Faced","GSAA","Save%","xSv%","Shot Stopping%","xG Faced","Shots Faced","Shots Faced OT%","All Shots Faced","Positioning Error","Penalties Faced","Penalties Conceded","GK Aggressive Dist.","Claims%","Pass into Danger%","Pass into Pressure%","Positive Outcome","Positive Outcome%","Pass OBV","D&C OBV","DA OBV","Shot OBV","Goalkeeper OBV","OBV"
"Miguel Jiménez","Guadalajara","2023/2024","1806","Goalkeeper","0","0","0","","0","","","0","","0","0","0.01","0.05","0","0","0","0","0.01","0.05","0","0.01","0.05","-0.01","0","0","0","","0.25","0","0","0","0","0","0","0","0.10","0","0","6.53","2.72","0","3.04","0","0","","0","0","0","100","0","","0","0","0.10","0.10","0","0.05","0","12.36","0","0","0","0","0","0","0","15.25","68","4.43","68","37","1.40","10.51","8","46","-22","11.72","1.25","0.08","0.08","12.06","100","5.29","0.55","0","0","0","0","0","0","0","","0","","0","47","53","0","100","0","0","42.84","50.40","0.73","83","7.56","31.07","41.80","0.90","0.76","-0.13","73","77","-4","0.80","3.29","29","11.21","1.59","0.30","0.25","17.42","-2","7","3","1.12","8","0.08","0.03","-0.00","","-0.22","-0.11"
"Nahuel Guzmán","Tigres UANL","2023/2024","3038","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.06","0.03","0.03","50","0.21","0","0.03","0.03","0","0","0","0","0.15","0.09","0","7.35","3.68","0","4.12","0","0","0","0","0","0.03","50","0.06","100","0.03","0.12","0.12","0.15","0.03","0.03","0","20.64","0","0","0","0","0.24","0.03","0","31.37","80","8.15","13","54","2.37","12.71","11","65","-15","14.21","0.74","0.22","0.22","23.19","100","4.43","0.53","0.03","0.03","0","0","0","0.03","0","0","0","","0","37","63","0","94","6","0","34.58","40.10","0.82","82","5.52","28.23","32.85","0.80","0.73","-0.07","77","79","-2","0.93","3.50","31","11.40","2.09","0.12","0.09","19.71","4","8","4","1.50","10","0.10","0.07","0.00","","-0.13","0.05"
"Ramón Pasquel","Juárez","2023/2024","75","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","6.04","2.60","0","6.04","0","0","","0","0","0","","0","","0","0","0","0","0","0","0","","0","","0","","1.21","0","0","18.12","79","2.42","24","29","1.21","7.25","4","0","-79","11.93","1.21","0.04","0.04","13.29","100","4.41","0","0","0","0","0","0","0","0","","0","","0","33","67","0","","","","32.98","62.27","0.70","","29.29","23.23","","0","0.30","0.30","100","75","25","0.72","1.21","10","12.08","1.01","1.21","1.21","16.33","-3","4","0","1.81","10","0.06","0.01","","","0.08","0.15"
"Raúl Gudiño","Necaxa","2023/2024","977","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.09","0","0","0","0","0","0","0","0.09","0","0","7.83","2.63","0","3.96","0","0","","0","0","0","100","0","","0","0","0.09","0.01","0.09","0","0","11.91","0","0","0","","0.09","0","0","15.48","65","6.45","10","41","1.01","14.56","6","42","-23","10.42","1.57","0.14","0.14","11.70","100","4.85","0.46","0","0","0","0","0","0","0","","0","","0","57","43","0","100","0","0","46.31","42.02","0.77","48","-4.29","35.58","20.34","0.92","0.98","0.05","74","72","2","1.12","3.50","27","13.18","1.54","0.09","0.09","15.02","1","13","3","1.53","14","0.12","0.04","","","-0.08","0.09"
"Ricardo Gutiérrez","Mazatlán","2023/2024","600","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.30","0.30","0","100","0.45","0","0","0","0","0","0","0","0","0","0","6.00","1.85","0","3.60","0","0","","0","0","0","","0","","0","0","0","0","0","0","0","","0","","0","","0.30","0","0","21.74","84","5.25","73","53","2.55","7.35","14","78","-6","11.43","0.15","0.32","0.32","17.54","100","4.09","0","0","0","0","0","0","0","0","","0","","0","33","67","0","","","","32.24","38.98","0.81","91","6.73","26.13","35.58","1.20","1.53","0.33","73","66","7","0.97","4.50","43","10.49","1.66","0.30","0.30","15.12","-1","5","4","2.05","15","0.11","0.08","","","0.17","0.36"
"Rodolfo Cota","León","2023/2024","3689","Goalkeeper","0","0","0","","0","","","0","","0","0","0.00","0.02","0","0.00","0.02","0","0","0","0","0.00","0.02","-0.00","0.02","0.02","0","100","0.20","0","0","0","0","0","0","0","0.37","0.17","0","7.22","3.74","0","4.25","0","0","0","0","0","0.02","43","0.10","","0","0.02","0.34","0.38","0.20","0.02","0","12.79","0.02","7","0","0","0.05","0","0","16.74","80","5.15","26","53","1.59","8.12","11","60","-20","10.69","0.27","0.09","0.09","13.15","100","4.58","0.15","0","0","0","0","0","0","0","","0","","0","37","63","0","100","0","0","34.39","39.56","0.82","77","5.17","28.21","30.60","1.10","0.88","-0.22","67","74","-6","1.01","3.34","29","11.44","2.26","0.17","0.17","17.60","3","8","2","1.36","8","0.08","0.06","-0.02","","-0.29","-0.17"
"Sebastián Jurado","Cruz Azul","2023/2024","347","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.26","0.26","0","100","0.26","0","0","0","0","0","0","0","0.26","0.26","0","7.53","2.63","0","2.86","0","0","","0","0","0.26","","0","","0","0","0","0","0","0","0","","0","","0","","0.26","0","0.26","19.73","69","4.93","20","37","1.82","11.42","8","22","-47","10.78","0.52","0.32","0.32","15.57","100","4.29","0.26","0","0","0","0","0","0","0","","0","","0","49","51","0","100","0","0","36.45","50.99","0.72","56","14.54","26.18","28.56","1.56","1.09","-0.46","45","62","-16","1.17","2.86","30","9.60","1.64","0.26","0.26","21.64","-1","5","1","1.56","12","0.10","0.04","-0.03","","-0.59","-0.48"
"Sebastián Jurado","Juárez","2023/2024","1295","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.14","0.14","0","100","0.14","0","0","0","0","0","0","0","0.28","0.14","0","8.27","3.18","0.07","2.92","0","0","0","0","0","0","67","0.07","","0","0","0.28","0.25","0.07","0.07","0","9.74","0","0","0","0","0","0","0","15.29","75","4.38","14","42","1.46","8.96","9","59","-15","10.40","0.69","0.05","0.05","12.92","100","4.69","0.28","0","0","0","0","0.07","0.07","0","","0","","0.07","42","58","0","75","0","25","37.29","42.67","0.73","87","5.38","27.32","37.21","1.25","1.31","0.06","70","69","1","1.35","4.24","31","13.62","2.12","0.07","0","17.73","-1","7","2","1.05","7","0.06","0.07","-0.00","","0.02","0.15"
"Tiago Volpi","Toluca","2023/2024","3677","Goalkeeper","0.22","0","0","","0","","","0","82","0","0","0.00","0.05","0","0.00","0.05","0","0","0","0","0.00","0.05","-0.00","0.05","0.02","0.02","50","0.10","0","0","0.02","0","0","0.02","0.03","0.12","0.05","0","7.07","2.79","0.02","4.01","0","0","","0","0","0","100","0","0","0","0.05","0.12","0.12","0.07","0","0","9.63","0","0","0","","0.07","0","0","25.09","78","7.96","6","54","1.98","12.73","11","58","-20","11.18","1.64","0.27","0.27","19.66","100","4.73","0.76","0.12","0.05","0.07","0","0.27","0.32","0","0","0","","0","36","64","0","90","10","0","40.00","43.41","0.79","69","3.41","31.57","29.82","1.00","0.90","-0.10","73","76","-3","1.04","3.77","36","10.45","1.95","0.05","0.05","18.11","2","8","3","1.85","12","0.11","0.06","-0.00","-0.01","-0.24","-0.09"
"Óscar Jiménez","América","2023/2024","546","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0.16","0","0","0","0","0.33","0.16","0","8.23","2.60","0","3.79","0","0","","0","0","0.16","100","0","","0","0","0.16","0.14","0.16","0","0","18.53","0","0","0","","0.16","0","0","18.45","82","4.12","17","46","2.47","6.42","14","70","-12","8.99","0.33","0.34","0.34","11.20","99","3.23","0","0","0","0","0","0","0","0","","0","","0","45","55","0","","","","31.37","40.66","0.75","83","9.29","23.59","33.89","0.66","0.85","0.19","85","81","4","1.02","4.45","35","12.85","1.42","0","0","14.41","-0","9","4","0.89","6","0.07","0.01","-0.00","","0.04","0.12"
"Óscar Ustari","Pachuca","2023/2024","311","Goalkeeper","0","0","0","","0","","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","5.20","3.37","0","6.07","0","0","0","0","0","0","0","0.29","","0","0","0","0","0","0","0","","0","","0","","0","0","0","14.74","67","7.52","12","49","0.58","14.74","3","67","-1","11.73","1.16","0.10","0.10","10.99","100","4.85","0.58","0","0","0","0","0","0","0","","0","","0","59","41","0","50","50","0","43.91","44.99","0.79","75","1.08","34.55","33.93","1.73","1.67","-0.07","54","56","-2","1.15","3.76","46","8.09","2.03","0","0","24.78","1","7","7","3.50","17","0.12","0.06","","","-0.11","0.07"
